Green River km downstream of Flaming Gorge Dam,,
River_km,Latitude,Longitude
20.2,40.8914986,-109.2398
20.3,40.8914795,-109.23862
20.4,40.8913803,-109.23744
20.5,40.8912086,-109.23628
20.6,40.8909302,-109.23516
20.7,40.8905602,-109.23407
20.8,40.8902016,-109.23298
20.9,40.8898506,-109.23189
21,40.8895302,-109.23078
21.1,40.8892097,-109.22967
21.2,40.8889084,-109.22855
21.3,40.8886108,-109.22744
21.4,40.8883095,-109.22631
21.5,40.8880501,-109.22518
21.6,40.8877907,-109.22405
21.7,40.8876419,-109.22288
21.8,40.8875313,-109.22171
21.9,40.8873482,-109.22055
22,40.8874092,-109.21937
22.1,40.8875389,-109.2182
22.2,40.887619,-109.21702
22.3,40.8876495,-109.21583
22.4,40.8876305,-109.21465
22.5,40.8875313,-109.21347
22.6,40.8871803,-109.21238
22.7,40.8870201,-109.21121
22.8,40.8872108,-109.21009
22.9,40.8876686,-109.20909
23,40.8882408,-109.20818
23.1,40.8889008,-109.20737
23.2,40.8895607,-109.20657
23.3,40.8900719,-109.20559
23.4,40.8905602,-109.20459
23.5,40.8910408,-109.20359
23.6,40.8914795,-109.20256
23.7,40.8918991,-109.2015
23.8,40.8923111,-109.20045
23.9,40.8928185,-109.19949
24,40.8933601,-109.19854
24.1,40.8937416,-109.19749
24.2,40.893959,-109.19634
24.3,40.8942909,-109.19524
24.4,40.8944206,-109.19407
24.5,40.8945084,-109.19289
24.6,40.8945694,-109.1917
24.7,40.8949509,-109.19064
24.8,40.895359,-109.18958
24.9,40.8958282,-109.18857
25,40.8963089,-109.18756
25.1,40.8965492,-109.18642
25.2,40.8965797,-109.18525
25.3,40.8963013,-109.18412
25.4,40.8961105,-109.18298
25.5,40.8963203,-109.18185
25.6,40.8969498,-109.18105
25.7,40.8977699,-109.18057
25.8,40.8983688,-109.17976
25.9,40.8986092,-109.17863
26,40.8986702,-109.17744
26.1,40.8987198,-109.17626
26.2,40.8987808,-109.17507
26.3,40.8988609,-109.17389
26.4,40.8990898,-109.17274
26.5,40.899559,-109.17174
26.6,40.8997917,-109.17061
26.7,40.8997803,-109.16943
26.8,40.8996811,-109.16826
26.9,40.8994293,-109.16712
27,40.8991203,-109.166
27.1,40.898819,-109.16489
27.2,40.89851,-109.16377
27.3,40.898201,-109.16266
27.4,40.8978806,-109.16155
27.5,40.8975601,-109.16044
27.6,40.8974609,-109.15927
27.7,40.8974915,-109.15809
27.8,40.8976898,-109.15693
27.9,40.8980408,-109.15584
28,40.8984909,-109.15483
28.1,40.8992004,-109.15411
28.2,40.899929,-109.15341
28.3,40.9007492,-109.15293
28.4,40.9014816,-109.15225
28.5,40.9020615,-109.15137
28.6,40.9022713,-109.15024
28.7,40.9020882,-109.14908
28.8,40.9018288,-109.14794
28.9,40.9016685,-109.14677
29,40.9013405,-109.14568
29.1,40.9007797,-109.1448
29.2,40.9000397,-109.14412
29.3,40.8991699,-109.14397
29.4,40.8983002,-109.1441
29.5,40.8976898,-109.14493
29.6,40.8971901,-109.14591
29.7,40.8967896,-109.14697
29.8,40.896431,-109.14805
29.9,40.8956909,-109.14869
30,40.8948898,-109.14922
30.1,40.8940582,-109.14966
30.2,40.8932114,-109.15004
30.3,40.8923302,-109.15028
30.4,40.8914413,-109.15052
30.5,40.8905983,-109.15092
30.6,40.8898811,-109.15158
30.7,40.8892899,-109.15248
30.8,40.8887405,-109.15342
30.9,40.888031,-109.15414
31,40.8871384,-109.15409
31.1,40.8863297,-109.15357
31.2,40.8856201,-109.15285
31.3,40.8849297,-109.15209
31.4,40.8842201,-109.15135
31.5,40.8835907,-109.15052
31.6,40.8829613,-109.14967
31.7,40.8823013,-109.14886
31.8,40.881649,-109.14805
31.9,40.8810196,-109.1472
32,40.8806801,-109.1461
32.1,40.8805084,-109.14494
32.2,40.8804092,-109.14376
32.3,40.8803902,-109.14258
32.4,40.8803787,-109.14139
32.5,40.8804398,-109.14021
32.6,40.879921,-109.13925
32.7,40.8793297,-109.13836
32.8,40.8787994,-109.1374
32.9,40.8783493,-109.13638
33,40.8778114,-109.13545
33.1,40.8771706,-109.13461
33.2,40.8765602,-109.13373
33.3,40.8758698,-109.13297
33.4,40.875,-109.13279
33.5,40.8741302,-109.13303
33.6,40.8732796,-109.13344
33.7,40.872509,-109.13405
33.8,40.8719482,-109.13496
33.9,40.87146,-109.13595
34,40.8710899,-109.13703
34.1,40.8710098,-109.13821
34.2,40.8711395,-109.13938
34.3,40.8713608,-109.14052
34.4,40.8716888,-109.14162
34.5,40.8721886,-109.14261
34.6,40.8726196,-109.14363
34.7,40.8726883,-109.1448
34.8,40.8725014,-109.14595
34.9,40.8721008,-109.14701
35,40.8713799,-109.1477
35.1,40.8706093,-109.14831
35.2,40.8697701,-109.14874
35.3,40.8688812,-109.14884
35.4,40.868,-109.14876
35.5,40.8672905,-109.14803
35.6,40.8665695,-109.14731
35.7,40.8661499,-109.14631
35.8,40.8660202,-109.14514
35.9,40.8658409,-109.14397
36,40.8655396,-109.14286
36.1,40.8651695,-109.14178
36.2,40.8646202,-109.14084
36.3,40.8639107,-109.14013
36.4,40.8630905,-109.13968
36.5,40.8622208,-109.13934
36.6,40.861351,-109.13904
36.7,40.8604698,-109.13886
36.8,40.859581,-109.13866
36.9,40.8587189,-109.13835
37,40.8579788,-109.13767
37.1,40.8573189,-109.13688
37.2,40.8568687,-109.13585
37.3,40.8566513,-109.13472
37.4,40.8566895,-109.13355
37.5,40.8567009,-109.13238
37.6,40.8563194,-109.13132
37.7,40.8557587,-109.13039
37.8,40.8551598,-109.12951
37.9,40.8545914,-109.12859
38,40.8540382,-109.12765
38.1,40.8534584,-109.12675
38.2,40.8527107,-109.12611
38.3,40.85186,-109.1263
38.4,40.8510399,-109.12677
38.5,40.8502007,-109.1272
38.6,40.84935,-109.12758
38.7,40.8484993,-109.12796
38.8,40.8476295,-109.12829
38.9,40.8467407,-109.12841
39,40.8458405,-109.12844
39.1,40.8449593,-109.12826
39.2,40.8440704,-109.1282
39.3,40.8433495,-109.12891
39.4,40.8426094,-109.12959
39.5,40.8417702,-109.1297
39.6,40.8411598,-109.12884
39.7,40.8406296,-109.12789
39.8,40.8407784,-109.12678
39.9,40.8411484,-109.1257
40,40.8414688,-109.12459
40.1,40.8417206,-109.12345
40.2,40.8418694,-109.12229
40.3,40.8418808,-109.1211
40.4,40.8418884,-109.11992
40.5,40.8418694,-109.11873
40.6,40.8418388,-109.11755
40.7,40.8417816,-109.11636
40.8,40.8418694,-109.1152
40.9,40.8420982,-109.11405
41,40.8422089,-109.11288
41.1,40.8423309,-109.1117
41.2,40.8424683,-109.11053
41.3,40.8426208,-109.10936
41.4,40.8428497,-109.10822
41.5,40.8430405,-109.10706
41.6,40.8431702,-109.10589
41.7,40.8431702,-109.10471
41.8,40.8431091,-109.10352
41.9,40.8429489,-109.10236
42,40.8427582,-109.1012
42.1,40.8425598,-109.10004
42.2,40.84235,-109.09889
42.3,40.8420486,-109.09777
42.4,40.8417511,-109.09665
42.5,40.8414307,-109.09555
42.6,40.8410492,-109.09447
42.7,40.8406792,-109.09339
42.8,40.8404388,-109.09226
42.9,40.8404007,-109.09109
43,40.840519,-109.08991
43.1,40.8407593,-109.08877
43.2,40.8410683,-109.08766
43.3,40.8414497,-109.08659
43.4,40.8418999,-109.08556
43.5,40.8423805,-109.08456
43.6,40.8428802,-109.08357
43.7,40.84338,-109.08258
43.8,40.8439407,-109.08166
43.9,40.8445091,-109.08074
44,40.8450813,-109.07982
44.1,40.8456993,-109.07896
44.2,40.8462982,-109.07808
44.3,40.846859,-109.07715
44.4,40.8475304,-109.07636
44.5,40.8482285,-109.07561
