Colorado River km downstream of Lee's Ferry in Glen Canyon
River_km,Latitude,Longitude
20.1,36.7258606,-111.701
20.2,36.7255096,-111.70203
20.3,36.7251587,-111.70306
20.4,36.7248001,-111.70409
20.5,36.7243385,-111.70505
20.6,36.7238312,-111.70596
20.7,36.7231598,-111.70671
20.8,36.7223091,-111.70707
20.9,36.7215004,-111.70752
21,36.7208405,-111.70814
21.1,36.7199402,-111.70821
21.2,36.7190514,-111.70833
21.3,36.7181702,-111.70855
21.4,36.717289,-111.70858
21.5,36.7163811,-111.70854
21.6,36.7154808,-111.70853
21.7,36.7145805,-111.70857
21.8,36.7136803,-111.70866
21.9,36.7127914,-111.70876
22,36.7118912,-111.70886
22.1,36.7109909,-111.70898
22.2,36.7101402,-111.70934
22.3,36.7092896,-111.7097
22.4,36.7084198,-111.71001
22.5,36.7075386,-111.71026
22.6,36.7066498,-111.71039
22.7,36.705761,-111.71054
22.8,36.7048912,-111.71084
22.9,36.7040291,-111.71116
23,36.7031708,-111.7115
23.1,36.7022705,-111.71153
23.2,36.7013893,-111.7117
23.3,36.7005386,-111.71208
23.4,36.6996689,-111.71231
23.5,36.6988106,-111.71268
23.6,36.697979,-111.71309
23.7,36.6971512,-111.71353
23.8,36.6963501,-111.71406
23.9,36.6956711,-111.71476
24,36.6950493,-111.71558
24.1,36.694519,-111.71648
24.2,36.6940308,-111.71742
24.3,36.6936607,-111.71844
24.4,36.6933708,-111.7195
24.5,36.6930885,-111.72056
24.6,36.6928101,-111.72162
24.7,36.6925392,-111.72269
24.8,36.6922112,-111.72373
24.9,36.6918411,-111.72475
25,36.6914597,-111.72577
25.1,36.69104,-111.72676
25.2,36.6905708,-111.72771
25.3,36.6901703,-111.72871
25.4,36.6897202,-111.72968
25.5,36.689209,-111.73059
25.6,36.6886406,-111.73146
25.7,36.6881409,-111.73239
25.8,36.6876488,-111.73333
25.9,36.6871109,-111.73422
26,36.6865005,-111.73503
26.1,36.6858788,-111.73585
26.2,36.6852608,-111.73666
26.3,36.6845589,-111.73737
26.4,36.6837311,-111.73779
26.5,36.6829185,-111.73827
26.6,36.6821709,-111.73889
26.7,36.6813889,-111.73944
26.8,36.6805305,-111.73973
26.9,36.6796303,-111.73986
27,36.67873,-111.7399
27.1,36.6778412,-111.74001
27.2,36.6769409,-111.74012
27.3,36.6760406,-111.74024
27.4,36.6751404,-111.74031
27.5,36.6742592,-111.74016
27.6,36.6734009,-111.73991
27.7,36.6725807,-111.74032
27.8,36.67173,-111.74059
27.9,36.6708298,-111.74066
28,36.6699295,-111.74073
28.1,36.6690292,-111.7408
28.2,36.668129,-111.74077
28.3,36.6672516,-111.74099
28.4,36.6663589,-111.74117
28.5,36.6654701,-111.74132
28.6,36.6645699,-111.74134
28.7,36.663681,-111.74156
28.8,36.6627998,-111.74176
28.9,36.6618996,-111.74191
29,36.6610184,-111.74211
29.1,36.6601906,-111.74255
29.2,36.6593704,-111.74299
29.3,36.6585312,-111.74339
29.4,36.6577415,-111.74392
29.5,36.6570702,-111.74467
29.6,36.6563187,-111.74528
29.7,36.6557693,-111.74615
29.8,36.6550484,-111.74676
29.9,36.6545906,-111.74772
30,36.654129,-111.74868
30.1,36.6536713,-111.74964
30.2,36.6532898,-111.75062
30.3,36.653019,-111.75167
30.4,36.6525803,-111.75265
30.5,36.6521912,-111.75366
30.6,36.6518288,-111.75468
30.7,36.6514397,-111.75569
30.8,36.6509895,-111.75665
30.9,36.6504402,-111.75753
31,36.6498413,-111.75836
31.1,36.6494713,-111.75938
31.2,36.6490211,-111.76032
31.3,36.6483002,-111.76097
31.4,36.6474609,-111.76137
