River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
-18.8,36.9012604,-111.51817
-18.9,36.9012299,-111.51706
-19,36.9011116,-111.51595
-19.1,36.9010696,-111.51483
-19.2,36.9011116,-111.51371
-19.3,36.9011803,-111.51259
-19.4,36.90131,-111.51148
-19.5,36.9015999,-111.51042
-19.6,36.9018097,-111.50934
-19.7,36.9018517,-111.50822
-19.8,36.9017105,-111.50711
-19.9,36.9015007,-111.50602
-20,36.901371,-111.50492
-20.1,36.9013901,-111.5038
-20.2,36.9016914,-111.50275
-20.3,36.9023094,-111.50195
-20.4,36.9030113,-111.50126
-20.5,36.9038582,-111.50088
-20.6,36.9047089,-111.50049
-20.7,36.9055405,-111.50008
-20.8,36.9063911,-111.49967
-20.9,36.9072609,-111.49946
-21,36.9081497,-111.49952
-21.1,36.9089584,-111.50002
-21.2,36.9098206,-111.50032
-21.3,36.9107018,-111.50025
-21.4,36.9115982,-111.5003
-21.5,36.9124985,-111.50037
-21.6,36.9133987,-111.50044
-21.7,36.914299,-111.5005
-21.8,36.9151993,-111.50057
-21.9,36.916069,-111.5003
-22,36.9167404,-111.49959
-22.1,36.9170609,-111.49857
-22.2,36.9171906,-111.49746
-22.3,36.9172592,-111.49634
-22.4,36.9173203,-111.49522
-22.5,36.9173698,-111.4941
-22.6,36.9174309,-111.49298
-22.7,36.9174881,-111.49186
-22.8,36.9177094,-111.49078
-22.9,36.9179802,-111.4897
-23,36.9183197,-111.48867
-23.1,36.9188004,-111.48773
-23.2,36.9194603,-111.48697
-23.3,36.9202194,-111.48637
-23.4,36.9209709,-111.48576
-23.5,36.92173,-111.48515
-23.6,36.9224815,-111.48452
-23.7,36.9231987,-111.48385
-23.8,36.9238701,-111.48311
-23.9,36.9244614,-111.48226
-24,36.9250298,-111.48139
-24.1,36.9256401,-111.48056
-24.2,36.9262505,-111.47974
-24.3,36.9270401,-111.47928
-24.4,36.9279289,-111.47942
-24.5,36.9287605,-111.47987
-24.6,36.9295807,-111.48033
-24.7,36.9304085,-111.48075
-24.8,36.9312515,-111.48117
-24.9,36.9320793,-111.4816
-25,36.9329185,-111.48202
-25.1,36.9337502,-111.48244
-25.2,36.9346008,-111.48284
-25.3,36.9354401,-111.48324
-25.4,36.9362793,-111.48366
-25.5,36.93713,-111.48399
-25.6,36.9380112,-111.48425
-25.7,36.9389,-111.48447
-25.8,36.9397812,-111.48468
-25.9,36.94067,-111.4849
-26,36.9415207,-111.48524
-26.1,36.9423294,-111.48572
-26.2,36.9431114,-111.48628
-26.3,36.94384,-111.48694
-26.4,36.9445686,-111.48759
-26.5,36.9453011,-111.48825
-26.6,36.9460297,-111.48891
-26.7,36.9467812,-111.48953
-26.8,36.9476395,-111.48984
-26.9,36.9485092,-111.49015
-27,36.9493904,-111.4903
-27.1,36.9502792,-111.49019
-27.2,36.9511795,-111.49007
-27.3,36.9519691,-111.48953
-27.4,36.9527588,-111.48899
-27.5,36.9534607,-111.4883
-27.6,36.9541092,-111.48752
-27.7,36.9546204,-111.48662
-27.8,36.9549294,-111.48557
-27.9,36.955101,-111.48447
